CUIT_Empresa;Nombre_Empresa;Nro_Documento;Persona;Clave_Referencia;Fecha_Comprobante;Origen;Tipo_Cliente;Importe_Neto
30707772405;GRUPO T y T SA;;;209618;31/03/2011;OLA;Corporativo;0,1628
30707772405;GRUPO T y T SA;;;209618;14/02/2011;OLA;Corporativo;19455,509
30708982608;SOL LINEAS AEREAS;;;194508;16/03/2011;OLA;Corporativo;585
30708982608;SOL LINEAS AEREAS;;;221735;16/03/2011;OLA;Corporativo;-183,3
30708982608;SOL LINEAS AEREAS;;;221735;15/03/2011;OLA;Corporativo;776,2
30708982608;SOL LINEAS AEREAS;;;222044;21/03/2011;OLA;Corporativo;1164,23
30708982608;SOL LINEAS AEREAS;;;220490;21/03/2011;OLA;Corporativo;234,64
30708982608;SOL LINEAS AEREAS;;;222233;21/03/2011;OLA;Corporativo;649,41
30708982608;SOL LINEAS AEREAS;;;222551;21/03/2011;OLA;Corporativo;776,24
30708982608;SOL LINEAS AEREAS;;;208626;22/03/2011;OLA;Corporativo;4,3
30708982608;SOL LINEAS AEREAS;;;208626;24/01/2011;OLA;Corporativo;1753,24
30708982608;SOL LINEAS AEREAS;;;223272;22/03/2011;OLA;Corporativo;194,69
30708982608;SOL LINEAS AEREAS;;;223683;23/03/2011;OLA;Corporativo;423,86
30708982608;SOL LINEAS AEREAS;;;216213;23/03/2011;OLA;Corporativo;-0,01
30708982608;SOL LINEAS AEREAS;;;216213;31/03/2011;OLA;Corporativo;0
30708982608;SOL LINEAS AEREAS;;;216213;22/02/2011;OLA;Corporativo;937,95
30708982608;SOL LINEAS AEREAS;;;224371;29/03/2011;OLA;Corporativo;295,07
30708982608;SOL LINEAS AEREAS;;;223682;29/03/2011;OLA;Corporativo;1905,33
30708982608;SOL LINEAS AEREAS;;;224092;29/03/2011;OLA;Corporativo;273,46
30708982608;SOL LINEAS AEREAS;;;224539;29/03/2011;OLA;Corporativo;204,83
30708982608;SOL LINEAS AEREAS;;;225029;31/03/2011;OLA;Corporativo;584,06
30708982608;SOL LINEAS AEREAS;;;221728;16/03/2011;OLA;Corporativo;531,34
30708982608;SOL LINEAS AEREAS;;;222617;22/03/2011;OLA;Corporativo;2074,62
30708982608;SOL LINEAS AEREAS;;;222628;22/03/2011;OLA;Corporativo;691,54
30708982608;SOL LINEAS AEREAS;;;222640;22/03/2011;OLA;Corporativo;864,94
30708982608;SOL LINEAS AEREAS;;;217605;29/03/2011;OLA;Corporativo;-0,01
30708982608;SOL LINEAS AEREAS;;;217605;24/02/2011;OLA;Corporativo;276,62
30583783519;TIO TOM SA;;;218208;16/03/2011;OLA;Corporativo;-71022,67
30583783519;TIO TOM SA;;;218208;03/03/2011;OLA;Corporativo;71022,67
30503348728;PALADINI SA;;;209892;21/03/2011;OLA;Corporativo;0
30503348728;PALADINI SA;;;209892;31/01/2011;OLA;Corporativo;2940
33698307639;DATA OIL SRL;;;207429;21/03/2011;OLA;Corporativo;0
33698307639;DATA OIL SRL;;;207429;25/01/2011;OLA;Corporativo;85,76
30663290262;INTAGRO S. A.;;;221295;21/03/2011;OLA;Corporativo;3423,99
30503348728;PALADINI SA;;;208882;21/03/2011;OLA;Corporativo;0
30503348728;PALADINI SA;;;208882;31/01/2011;OLA;Corporativo;2932,65
30503348728;PALADINI SA;;;223179;21/03/2011;OLA;Corporativo;361,94
30708728817;MACO LITORAL SA;;;221328;21/03/2011;OLA;Corporativo;390,35
30503348728;PALADINI SA;;;221790;21/03/2011;OLA;Corporativo;361,19
30625134451;COLEGIO FARMACEUTICOS STA FE 2DA CIRC;;;221979;21/03/2011;OLA;Corporativo;1219,45
30642709999;JULERIAQUE S.A;;;221323;21/03/2011;OLA;Corporativo;1270,48
30501077131;CAFES LA VIRGINIA S.A.;;;221287;21/03/2011;OLA;Corporativo;217,23
30501077131;CAFES LA VIRGINIA S.A.;;;221303;21/03/2011;OLA;Corporativo;217,23
30616428256;TROMPIA SRL;;;221775;21/03/2011;OLA;Corporativo;217,18
30663290262;INTAGRO S. A.;;;221682;21/03/2011;OLA;Corporativo;434,41
30677439803;INDUMETAVI SRL;;;222082;21/03/2011;OLA;Corporativo;809,79
30501077131;CAFES LA VIRGINIA S.A.;;;221350;21/03/2011;OLA;Corporativo;310,22
30639475537;FUNDACION LIBERTAD;;;222170;21/03/2011;OLA;Corporativo;5200,84
30501077131;CAFES LA VIRGINIA S.A.;;;221308;21/03/2011;OLA;Corporativo;969,4
30501077131;CAFES LA VIRGINIA S.A.;;;221313;21/03/2011;OLA;Corporativo;969,4
30612691963;KIT INGENIERIA;;;222295;21/03/2011;OLA;Corporativo;321,48
30501077131;CAFES LA VIRGINIA S.A.;;;223217;21/03/2011;OLA;Corporativo;454,54
30501077131;CAFES LA VIRGINIA S.A.;;;223212;21/03/2011;OLA;Corporativo;909,08
30503348728;PALADINI SA;;;223162;21/03/2011;OLA;Corporativo;257,85
30642709999;JULERIAQUE S.A;;;201906;22/03/2011;OLA;Corporativo;-320
30528994012;MERCADO A TERMINO;;;216251;29/03/2011;OLA;Corporativo;4557,96
30639475537;FUNDACION LIBERTAD;;;222555;29/03/2011;OLA;Corporativo;3604,08
30528994012;MERCADO A TERMINO;;;205890;29/03/2011;OLA;Corporativo;4684,37
30528994012;MERCADO A TERMINO;;;218078;29/03/2011;OLA;Corporativo;611,01
30642709999;JULERIAQUE S.A;;;221722;29/03/2011;OLA;Corporativo;838,05
30707085882;DROGUERIA COMARSA SA;;;222505;29/03/2011;OLA;Corporativo;788
30528994012;MERCADO A TERMINO;;;221265;29/03/2011;OLA;Corporativo;780,9
30692432661;NUEVO BANCO DE SANTA FE SA;;;221245;29/03/2011;OLA;Corporativo;1614,25
30578587515;MICROPACK;;;221737;29/03/2011;OLA;Corporativo;577,05
30503348728;PALADINI SA;;;221686;29/03/2011;OLA;Corporativo;864,41
20060706744;BOMBONERIA ROYAL;;;221474;29/03/2011;OLA;Corporativo;315,75
30692432661;NUEVO BANCO DE SANTA FE SA;;;222592;29/03/2011;OLA;Corporativo;475,74
